date,revenue,purchases,salaries,rent,other_expenses
2024-05-06,33000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-07,500000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-08,240000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-09,0.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-10,0.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-11,0.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-12,0.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-13,30000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-14,40000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-15,45000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-16,45000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-17,49000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-18,85000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-19,40000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-20,42000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-21,43000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-22,60000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-23,54000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-24,65000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-25,92000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-26,26000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-27,41000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-28,38000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-29,40000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-30,46000.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-05-31,0.0,0.0,14079.500483870968,4516.129032258064,0.0
2024-07-01,70000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-02,38000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-03,30000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-04,50000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-05,52000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-06,43000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-07,45000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-08,46000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-09,45000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-10,48000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-11,26000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-12,70000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-13,69000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-14,172000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-15,220000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-16,0.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-17,0.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-18,0.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-19,55000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-20,150000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-21,70000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-22,44000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-23,57000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-24,49000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-25,38000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-26,60000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-27,70000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-28,38000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-29,60000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-30,45000.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-07-31,0.0,1915362.0,13943.986264516128,4838.709677419355,0.0
2024-08-01,41000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-02,37000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-03,47000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-04,130000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-05,40000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-06,117000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-07,90000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-08,60000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-09,50000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-10,60000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-11,67000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-12,65000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-13,470000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-14,52000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-15,80000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-16,70000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-17,60000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-18,43000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-19,34000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-20,100000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-21,28000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-22,74000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-23,49000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-24,52000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-25,73000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-26,24000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-27,73000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-28,35000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-29,34000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-30,50000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-08-31,55000.0,0.0,9854.582741935485,4838.709677419355,0.0
2024-09-01,33000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-02,60000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-03,0.0,0.0,17133.333333333332,5000.0,0.0
2024-09-04,0.0,0.0,17133.333333333332,5000.0,0.0
2024-09-05,0.0,0.0,17133.333333333332,5000.0,0.0
2024-09-06,0.0,0.0,17133.333333333332,5000.0,0.0
2024-09-07,4000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-08,0.0,0.0,17133.333333333332,5000.0,0.0
2024-09-09,0.0,0.0,17133.333333333332,5000.0,0.0
2024-09-10,35000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-11,18000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-12,21000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-13,23000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-14,20000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-15,40000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-16,45000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-17,38000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-18,37000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-19,32000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-20,15000.0,0.0,17133.333333333332,5000.0,0.0
2024-09-21,25000.0,0.0,17133.333333333332,5000.0,0.0
