date,revenue,purchases,salaries,rent,other_expenses
2019-12-02,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-03,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-04,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-05,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-06,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-07,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-08,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-09,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-10,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-11,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-12,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-13,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-14,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-15,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-16,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-17,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-18,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-19,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-20,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-21,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-22,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-23,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-24,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-25,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-26,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-27,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-28,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-29,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-30,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2019-12-31,18483.870967741936,0.0,0.0,1290.3225806451612,0.0
2020-01-01,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-02,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-03,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-04,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-05,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-06,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-07,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-08,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-09,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-10,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-11,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-12,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-13,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-14,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-15,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-16,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-17,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-18,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-19,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-20,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
2020-01-21,19483.870967741936,0.0,0.0,1451.6129032258063,0.0
